"consolidation","contest","candidate","type","votes"
"106520-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"106520-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",22
"106520-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",448
"106520-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",2
"106520-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",332
"106520-RANCHO BERNARDO","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",54
"110000-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"110000-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",15
"110000-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",648
"110000-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",0
"110000-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",409
"110000-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",43
"110010-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"110010-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",7
"110010-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",404
"110010-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",0
"110010-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",290
"110010-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",35
"110030-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"110030-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",19
"110030-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",508
"110030-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",1
"110030-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",269
"110030-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",28
"110050-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"110050-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",22
"110050-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",464
"110050-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",3
"110050-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",272
"110050-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",29
"110100-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"110100-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",12
"110100-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",402
"110100-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","LA RIVA/BANKS","Total",2
"110100-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","TRUMP/PENCE","Total",383
"110100-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","JOHNSON/WELD","Total",33
"110120-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","Number of Precincts Reporting","Total",1
"110120-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","STEIN/BARAKA","Total",18
"110120-RHO PENASQUITOS","PRESIDENT/VICE PRESIDENT","CLINTON/KAINE","Total",435
